HMDB_ID,id,formula,mz,charge,ion
HMDB0000001,1-Methylhistidine,C7H11N3O2,168.0778502,-1,[M-H]1-
HMDB0000002,"1,3-Diaminopropane",C3H10N2,73.07712189,-1,[M-H]1-
HMDB0000005,2-Ketobutyric acid,C4H6O3,101.0244176,-1,[M-H]1-
HMDB0000008,2-Hydroxybutyric acid,C4H8O3,103.0400677,-1,[M-H]1-
HMDB0000010,2-Methoxyestrone,C19H24O3,299.1652682,-1,[M-H]1-
HMDB0000011,(R)-3-Hydroxybutyric acid,C4H8O3,103.0400677,-1,[M-H]1-
HMDB0000012,Deoxyuridine,C9H12N2O5,227.0673451,-1,[M-H]1-
HMDB0000014,Deoxycytidine,C9H13N3O4,226.0833295,-1,[M-H]1-
HMDB0000015,Cortexolone,C21H30O4,345.207133,-1,[M-H]1-
HMDB0000016,Deoxycorticosterone,C21H30O3,329.2122184,-1,[M-H]1-
HMDB0000017,4-Pyridoxic acid,C8H9NO4,182.0458813,-1,[M-H]1-
HMDB0000019,alpha-Ketoisovaleric acid,C5H8O3,115.0400677,-1,[M-H]1-
HMDB0000021,Iodotyrosine,C9H10INO3,305.9632647,-1,[M-H]1-
HMDB0000022,3-Methoxytyramine,C9H13NO2,166.0873522,-1,[M-H]1-
HMDB0000023,(S)-3-Hydroxyisobutyric acid,C4H8O3,103.0400677,-1,[M-H]1-
HMDB0000024,3-O-Sulfogalactosylceramide (d18:1/24:0),C48H93NO11S,890.6396571,-1,[M-H]1-
HMDB0000026,Ureidopropionic acid,C4H8N2O3,131.0462157,-1,[M-H]1-
HMDB0000027,Tetrahydrobiopterin,C9H15N5O3,240.1102129,-1,[M-H]1-
HMDB0000031,Androsterone,C19H30O2,289.2173037,-1,[M-H]1-
HMDB0000032,7-Dehydrocholesterol,C27H44O,383.3319396,-1,[M-H]1-
HMDB0000033,Carnosine,C9H14N4O3,225.0993139,-1,[M-H]1-
HMDB0000034,Adenine,C5H5N5,134.0472188,-1,[M-H]1-
HMDB0000036,Taurocholic acid,C26H45NO7S,514.2843971,-1,[M-H]1-
HMDB0000037,Aldosterone,C21H28O5,359.1863975,-1,[M-H]1-
HMDB0000038,Dihydrobiopterin,C9H13N5O3,238.0945629,-1,[M-H]1-
HMDB0000039,Butyric acid,C4H8O2,87.04515304,-1,[M-H]1-
HMDB0000042,Acetic acid,C2H4O2,59.01385292,-1,[M-H]1-
HMDB0000043,Betaine,C5H11NO2,116.0717021,-1,[M-H]1-
HMDB0000045,Adenosine monophosphate,C10H14N5O7P,346.0558079,-1,[M-H]1-
HMDB0000050,Adenosine,C10H13N5O4,266.0894775,-1,[M-H]1-
HMDB0000051,Ammonia,H3N,16.01927265,-1,[M-H]1-
HMDB0000052,Argininosuccinic acid,C10H18N4O6,289.1153579,-1,[M-H]1-
HMDB0000053,Androstenedione,C19H26O2,285.1860036,-1,[M-H]1-
HMDB0000054,Bilirubin,C33H36N4O6,583.2562085,-1,[M-H]1-
HMDB0000056,beta-Alanine,C3H7NO2,88.04040202,-1,[M-H]1-
HMDB0000058,Cyclic AMP,C10H12N5O6P,328.0452432,-1,[M-H]1-
HMDB0000060,Acetoacetic acid,C4H6O3,101.0244176,-1,[M-H]1-
HMDB0000061,"Adenosine 3',5'-diphosphate",C10H15N5O10P2,426.0221383,-1,[M-H]1-
HMDB0000062,L-Carnitine,C7H15NO3,160.0979169,-1,[M-H]1-
HMDB0000063,Cortisol,C21H30O5,361.2020476,-1,[M-H]1-
HMDB0000064,Creatine,C4H9N3O2,130.0622001,-1,[M-H]1-
HMDB0000067,Cholesterol,C27H46O,385.3475896,-1,[M-H]1-
HMDB0000068,Epinephrine,C9H13NO3,182.0822668,-1,[M-H]1-
HMDB0000070,Pipecolic acid,C6H11NO2,128.0717021,-1,[M-H]1-
HMDB0000071,Deoxyinosine,C10H12N4O4,251.0785785,-1,[M-H]1-
HMDB0000072,cis-Aconitic acid,C6H6O6,173.0091615,-1,[M-H]1-
HMDB0000073,Dopamine,C8H11NO2,152.0717021,-1,[M-H]1-
HMDB0000076,Dihydrouracil,C4H6N2O2,113.035651,-1,[M-H]1-
HMDB0000077,Dehydroepiandrosterone,C19H28O2,287.2016537,-1,[M-H]1-
HMDB0000078,Cysteinylglycine,C5H10N2O3S,177.0339365,-1,[M-H]1-
HMDB0000079,Dihydrothymine,C5H8N2O2,127.0513011,-1,[M-H]1-
HMDB0000082,Cytidine triphosphate,C9H16N3O14P3,481.9772352,-1,[M-H]1-
HMDB0000085,Deoxyguanosine,C10H13N5O4,266.0894775,-1,[M-H]1-
HMDB0000086,Glycerophosphocholine,C8H20NO6P,256.0955474,-1,[M-H]1-
HMDB0000087,Dimethylamine,C2H7N,44.05057278,-1,[M-H]1-
HMDB0000089,Cytidine,C9H13N3O5,242.0782441,-1,[M-H]1-
HMDB0000092,Dimethylglycine,C4H9NO2,102.0560521,-1,[M-H]1-
HMDB0000094,Citric acid,C6H8O7,191.0197261,-1,[M-H]1-
HMDB0000095,Cytidine monophosphate,C9H14N3O8P,322.0445745,-1,[M-H]1-
HMDB0000098,D-Xylose,C5H10O5,149.045547,-1,[M-H]1-
HMDB0000099,L-Cystathionine,C7H14N2O4S,221.0601512,-1,[M-H]1-
HMDB0000101,Deoxyadenosine,C10H13N5O3,250.0945629,-1,[M-H]1-
HMDB0000107,Galactitol,C6H14O6,181.0717617,-1,[M-H]1-
HMDB0000112,gamma-Aminobutyric acid,C4H9NO2,102.0560521,-1,[M-H]1-
HMDB0000114,Glycerylphosphorylethanolamine,C5H14NO6P,214.0485972,-1,[M-H]1-
HMDB0000115,Glycolic acid,C2H4O3,75.00876754,-1,[M-H]1-
HMDB0000118,Homovanillic acid,C9H10O4,181.0506323,-1,[M-H]1-
HMDB0000119,Glyoxylic acid,C2H2O3,72.99311747,-1,[M-H]1-
HMDB0000122,D-Glucose,C6H12O6,179.0561117,-1,[M-H]1-
HMDB0000123,Glycine,C2H5NO2,74.02475196,-1,[M-H]1-
HMDB0000124,Fructose 6-phosphate,C6H13O9P,259.022442,-1,[M-H]1-
HMDB0000125,Glutathione,C10H17N3O6S,306.0765296,-1,[M-H]1-
