mz,id,ion,example,formula
255.02697,PA 4:0,[M-H]-,GPA(2:0/2:0),C7H13O8P
256.05862,lysoPE 2:0,[M-H]-,PE(2:0/0:0),C7H16NO7P
269.04263,PA 5:0,[M-H]-,GPA(2:0/3:0),C8H15O8P
270.07427,lysoPE 3:0,[M-H]-,PE(3:0/0:0),C8H18NO7P
283.05828,PA 6:0,[M-H]-,GPA(4:0/2:0),C9H17O8P
284.08993,lysoPE 4:0,[M-H]-,PE(4:0/0:0),C9H20NO7P
297.07394,PA 7:0,[M-H]-,GPA(4:0/3:0),C10H19O8P
298.06918,PE 4:0,[M-H]-,GPEtn(2:0/2:0),C9H18NO8P
298.10558,lysoPE 5:0,[M-H]-,PE(5:0/0:0),C10H22NO7P
311.08959,PA 8:0,[M-H]-,GPA(3:0/5:0),C11H21O8P
312.08483,PE 5:0,[M-H]-,GPEtn(3:0/2:0),C10H20NO8P
312.12121,lysoPE 6:0,[M-H]-,PE(6:0/0:0),C11H24NO7P
325.10525,PA 9:0,[M-H]-,GPA(7:0/2:0),C12H23O8P
326.10049,PE 6:0,[M-H]-,GPEtn(2:0/4:0),C11H22NO8P
326.13686,lysoPE 7:0,[M-H]-,PE(7:0/0:0),C12H26NO7P
329.06377,PG 4:0,[M-H]-,GPGro(2:0/2:0),C10H19O10P
337.11348,MGDG 4:0,[M-H]-,MGDG(2:0/2:0),C13H22O10
339.12087,PA 10:0,[M-H]-,GPA(8:0/2:0),C13H25O8P
340.11614,PE 7:0,[M-H]-,GPEtn(2:0/5:0),C12H24NO8P
340.15252,lysoPE 8:0,[M-H]-,PE(8:0/0:0),C13H28NO7P
342.05901,PS 4:0,[M-H]-,GPSer(2:0/2:0),C10H18NO10P
343.0794,PG 5:0,[M-H]-,GPGro(3:0/2:0),C11H21O10P
351.12911,MGDG 5:0,[M-H]-,MGDG(2:0/3:0),C14H24O10
353.13653,PA 11:0,[M-H]-,GPA(2:0/9:0),C14H27O8P
354.1318,PE 8:0,[M-H]-,GPEtn(6:0/2:0),C13H26NO8P
354.16817,lysoPE 9:0,[M-H]-,PE(9:0/0:0),C14H30NO7P
356.07467,PS 5:0,[M-H]-,GPSer(2:0/3:0),C11H20NO10P
357.09505,PG 6:0,[M-H]-,GPGro(4:0/2:0),C12H23O10P
364.1889,CerP 16:1,[M-H]-,CerP(d14:1(4E)/2:0),C16H32NO6P
365.14478,MGDG 6:0,[M-H]-,MGDG(4:0/2:0),C15H26O10
366.20455,CerP 16:0,[M-H]-,CerP(d14:0/2:0),C16H34NO6P
367.15218,PA 12:0,[M-H]-,GPA(2:0/10:0),C15H29O8P
368.14742,PE 9:0,[M-H]-,GPEtn(7:0/2:0),C14H28NO8P
368.18383,lysoPE 10:0,[M-H]-,PE(10:0/0:0),C15H32NO7P
370.09032,PS 6:0,[M-H]-,GPSer(2:0/4:0),C12H22NO10P
371.11071,PG 7:0,[M-H]-,GPGro(5:0/2:0),C13H25O10P
378.20455,CerP 17:1,[M-H]-,CerP(d15:1(4E)/2:0),C17H34NO6P
379.16042,MGDG 7:0,[M-H]-,MGDG(3:0/4:0),C16H28O10
380.22021,CerP 17:0,[M-H]-,CerP(d15:0/2:0),C17H36NO6P
381.16784,PA 13:0,[M-H]-,GPA(11:0/2:0),C16H31O8P
382.16308,PE 10:0,[M-H]-,GPEtn(2:0/8:0),C15H30NO8P
382.19946,lysoPE 11:0,[M-H]-,PE(11:0/0:0),C16H34NO7P
384.10595,PS 7:0,[M-H]-,GPSer(5:0/2:0),C13H24NO10P
385.12637,PG 8:0,[M-H]-,GPGro(5:0/3:0),C14H27O10P
392.22021,CerP 18:1,[M-H]-,CerP(d16:1(4E)/2:0),C18H36NO6P
393.17608,MGDG 8:0,[M-H]-,MGDG(3:0/5:0),C17H30O10
394.23586,CerP 18:0,[M-H]-,CerP(d16:0/2:0),C18H38NO6P
395.18349,PA 14:0,[M-H]-,GPA(12:0/2:0),C17H33O8P
396.17873,PE 11:0,[M-H]-,GPEtn(4:0/7:0),C16H32NO8P
396.21511,lysoPE 12:0,[M-H]-,PE(12:0/0:0),C17H36NO7P
398.12161,PS 8:0,[M-H]-,GPSer(3:0/5:0),C14H26NO10P
399.14202,PG 9:0,[M-H]-,GPGro(5:0/4:0),C15H29O10P
401.07538,SQDG 4:0,[M-H]-,SQDG(2:0/2:0),C13H22O12S
406.23586,CerP 19:1,[M-H]-,CerP(d17:1(4E)/2:0),C19H38NO6P
407.19173,MGDG 9:0,[M-H]-,MGDG(2:0/7:0),C18H32O10
408.25152,CerP 19:0,[M-H]-,CerP(d17:0/2:0),C19H40NO6P
409.19912,PA 15:0,[M-H]-,GPA(11:0/4:0),C18H35O8P
410.19439,PE 12:0,[M-H]-,GPEtn(4:0/8:0),C17H34NO8P
410.23077,lysoPE 13:0,[M-H]-,PE(13:0/0:0),C18H38NO7P
412.13726,PS 9:0,[M-H]-,GPSer(6:0/3:0),C15H28NO10P
413.15768,PG 10:0,[M-H]-,GPGro(6:0/4:0),C16H31O10P
415.09103,SQDG 5:0,[M-H]-,SQDG(2:0/3:0),C14H24O12S
417.0798,PI 4:0,[M-H]-,GPIns(2:0/2:0),C13H23O13P
420.25152,CerP 20:1,[M-H]-,CerP(d18:1(4E)/2:0),C20H40NO6P
421.19912,PA 16:1,[M-H]-,GPA(14:1(9Z)/2:0),C19H35O8P
421.20738,MGDG 10:0,[M-H]-,MGDG(7:0/3:0),C19H34O10
422.23077,lysoPE 14:1,[M-H]-,PE(14:1(9Z)/0:0),C19H38NO7P
422.26714,CerP 20:0,[M-H]-,CerP(d18:0/2:0),C20H42NO6P
423.21478,PA 16:0,[M-H]-,GPA(12:0/4:0),C19H37O8P
424.21004,PE 13:0,[M-H]-,GPEtn(2:0/11:0),C18H36NO8P
424.24642,lysoPE 14:0,[M-H]-,PE(14:0/0:0),C19H40NO7P
426.15292,PS 10:0,[M-H]-,GPSer(5:0/5:0),C16H30NO10P
427.1733,PG 11:0,[M-H]-,GPGro(9:0/2:0),C17H33O10P
429.10668,SQDG 6:0,[M-H]-,SQDG(2:0/4:0),C15H26O12S
431.09545,PI 5:0,[M-H]-,GPIns(3:0/2:0),C14H25O13P
434.26714,CerP 21:1,[M-H]-,CerP(d19:1(4E)/2:0),C21H42NO6P
435.21478,PA 17:1,[M-H]-,GPA(15:1(9Z)/2:0),C20H37O8P
435.22301,MGDG 11:0,[M-H]-,MGDG(6:0/5:0),C20H36O10
436.24642,lysoPE 15:1,[M-H]-,PE(15:1(9Z)/0:0),C20H40NO7P
436.2828,CerP 21:0,[M-H]-,CerP(d19:0/2:0),C21H44NO6P
436.2828,lysoPE 16:0,[M-H]-,PE(P-16:0/0:0),C21H44NO6P
437.23043,PA 17:0,[M-H]-,GPA(11:0/6:0),C20H39O8P
438.22567,PE 14:0,[M-H]-,GPEtn(5:0/9:0),C19H38NO8P
438.26208,lysoPE 15:0,[M-H]-,PE(15:0/0:0),C20H42NO7P
438.29845,lysoPE 16:0,[M-H]-,PE(O-16:0/0:0),C21H46NO6P
440.16857,PS 11:0,[M-H]-,GPSer(3:0/8:0),C17H32NO10P
441.18896,PG 12:0,[M-H]-,GPGro(8:0/4:0),C18H35O10P
443.12234,SQDG 7:0,[M-H]-,SQDG(3:0/4:0),C16H28O12S
445.11111,PI 6:0,[M-H]-,GPIns(3:0/3:0),C15H27O13P
449.23043,PA 18:1,[M-H]-,GPA(16:1(7Z)/2:0),C21H39O8P
449.23868,MGDG 12:0,[M-H]-,MGDG(7:0/5:0),C21H38O10
450.26208,lysoPE 16:1,[M-H]-,PE(16:1(7Z)/0:0),C21H42NO7P
451.24609,PA 18:0,[M-H]-,GPA(14:0/4:0),C21H41O8P
452.24133,PE 15:0,[M-H]-,GPEtn(12:0/3:0),C20H40NO8P
452.27773,lysoPE 16:0,[M-H]-,PE(16:0/0:0),C21H44NO7P
454.18423,PS 12:0,[M-H]-,GPSer(10:0/2:0),C18H34NO10P
455.20461,PG 13:0,[M-H]-,GPGro(10:0/3:0),C19H37O10P
457.13796,SQDG 8:0,[M-H]-,SQDG(3:0/5:0),C17H30O12S
459.12676,PI 7:0,[M-H]-,GPIns(2:0/5:0),C16H29O13P
461.23043,PA 19:2,[M-H]-,"GPA(17:2(9Z,12Z)/2:0)",C22H39O8P
462.26208,lysoPE 17:2,[M-H]-,"PE(17:2(9Z,12Z)/0:0)",C22H42NO7P
463.24609,PA 19:1,[M-H]-,GPA(16:1(9Z)/3:0),C22H41O8P
463.25433,MGDG 13:0,[M-H]-,MGDG(10:0/3:0),C22H40O10
464.24133,PE 16:1,[M-H]-,GPEtn(14:1(9Z)/2:0),C21H40NO8P
464.27773,lysoPE 17:1,[M-H]-,PE(17:1(9Z)/0:0),C22H44NO7P
464.31411,lysoPE 18:0,[M-H]-,PE(P-18:0/0:0),C23H48NO6P
465.26174,PA 19:0,[M-H]-,GPA(12:0/7:0),C22H43O8P
466.25698,PE 16:0,[M-H]-,GPEtn(4:0/12:0),C21H42NO8P
466.29336,lysoPE 17:0,[M-H]-,PE(17:0/0:0),C22H46NO7P
466.32977,lysoPE 18:0,[M-H]-,PE(O-18:0/0:0),C23H50NO6P
468.19985,PS 13:0,[M-H]-,GPSer(9:0/4:0),C19H36NO10P
469.22027,PG 14:0,[M-H]-,GPGro(11:0/3:0),C20H39O10P
471.15362,SQDG 9:0,[M-H]-,SQDG(7:0/2:0),C18H32O12S
471.21478,PA 20:4,[M-H]-,"GPA(18:4(6Z,9Z,12Z,15Z)/2:0)",C23H37O8P
