mz,id,ion,example,formula
141.07392,MG 2:0,[M+Li]+,MG(2:0/0:0/0:0),C5H10O4
152.09228,MG 2:0,[M+NH4]+,MG(2:0/0:0/0:0),C5H10O4
155.08957,MG 3:0,[M+Li]+,MG(3:0/0:0/0:0),C6H12O4
166.10793,MG 3:0,[M+NH4]+,MG(3:0/0:0/0:0),C6H12O4
169.10522,MG 4:0,[M+Li]+,MG(4:0/0:0/0:0),C7H14O4
180.12358,MG 4:0,[M+NH4]+,MG(4:0/0:0/0:0),C7H14O4
183.12087,MG 5:0,[M+Li]+,MG(5:0/0:0/0:0),C8H16O4
194.13923,MG 5:0,[M+NH4]+,MG(5:0/0:0/0:0),C8H16O4
197.13652,MG 6:0,[M+Li]+,MG(6:0/0:0/0:0),C9H18O4
208.15488,MG 6:0,[M+NH4]+,MG(6:0/0:0/0:0),C9H18O4
211.15217,MG 7:0,[M+Li]+,MG(7:0/0:0/0:0),C10H20O4
222.17053,MG 7:0,[M+NH4]+,MG(7:0/0:0/0:0),C10H20O4
225.16782,MG 8:0,[M+Li]+,MG(8:0/0:0/0:0),C11H22O4
236.18618,MG 8:0,[M+NH4]+,MG(8:0/0:0/0:0),C11H22O4
239.18347,MG 9:0,[M+Li]+,MG(9:0/0:0/0:0),C12H24O4
250.20183,MG 9:0,[M+NH4]+,MG(9:0/0:0/0:0),C12H24O4
253.19912,MG 10:0,[M+Li]+,MG(10:0/0:0/0:0),C13H26O4
258.07426,lysoPE 2:0,[M+H]+,PE(2:0/0:0),C7H16NO7P
264.21748,MG 10:0,[M+NH4]+,MG(10:0/0:0/0:0),C13H26O4
267.21477,MG 11:0,[M+Li]+,MG(11:0/0:0/0:0),C14H28O4
272.08991,lysoPE 3:0,[M+H]+,PE(3:0/0:0),C8H18NO7P
278.23313,MG 11:0,[M+NH4]+,MG(11:0/0:0/0:0),C14H28O4
279.02456,PA 4:0,[M+Na]+,GPA(2:0/2:0),C7H13O8P
280.05621,lysoPE 2:0,[M+Na]+,PE(2:0/0:0),C7H16NO7P
