id,formula,mz,charge,ion
ascr#1,C13H24O6,273.1354591,-3,[M-3H]3-
ascr#2,C12H22O5,243.1248944,-3,[M-3H]3-
ascr#3,C15H26O6,299.1511092,-3,[M-3H]3-
ascr#4,C18H32O10,405.1777179,-3,[M-3H]3-
ascr#5,C9H16O6,217.0728589,-3,[M-3H]3-
ascr#6.1,C12H24O5,245.1405445,-3,[M-3H]3-
ascr#6.2,C12H24O5,245.1405445,-3,[M-3H]3-
ascr#7,C13H22O6,271.1198091,-3,[M-3H]3-
ascr#8,C20H27NO7,390.1569229,-3,[M-3H]3-
icas#9,C20H25NO7,388.1412728,-3,[M-3H]3-
dafa#1,C27H40O3,409.2759158,-3,[M-3H]3-
dafa#2,C27H42O3,411.2915658,-3,[M-3H]3-
dafa#3,C27H44O3,413.3072159,-3,[M-3H]3-
dafa#4,C27H42O3,411.2915658,-3,[M-3H]3-
dafa#5,C27H44O3,413.3072159,-3,[M-3H]3-
dafa#6,C27H44O3,413.3072159,-3,[M-3H]3-
ascr#9,C11H20O6,245.104159,-3,[M-3H]3-
ascr#10,C15H28O6,301.1667593,-3,[M-3H]3-
ascr#11,C10H18O6,231.0885089,-3,[M-3H]3-
ascr#12,C12H22O6,259.1198091,-3,[M-3H]3-
ascr#13,C14H24O6,285.1354591,-3,[M-3H]3-
ascr#14,C14H26O6,287.1511092,-3,[M-3H]3-
ascr#15,C16H28O6,313.1667593,-3,[M-3H]3-
ascr#16,C16H30O6,315.1824093,-3,[M-3H]3-
ascr#17,C17H30O6,327.1824093,-3,[M-3H]3-
ascr#18,C17H32O6,329.1980594,-3,[M-3H]3-
ascr#19,C18H32O6,341.1980594,-3,[M-3H]3-
ascr#20,C18H34O6,343.2137095,-3,[M-3H]3-
ascr#21,C19H34O6,355.2137095,-3,[M-3H]3-
ascr#22,C19H36O6,357.2293595,-3,[M-3H]3-
ascr#23,C20H36O6,369.2293595,-3,[M-3H]3-
ascr#24,C20H38O6,371.2450096,-3,[M-3H]3-
ascr#25,C21H38O6,383.2450096,-3,[M-3H]3-
ascr#26,C21H40O6,385.2606596,-3,[M-3H]3-
