id,formula,mz,charge,ion
ascr#1,C13H24O6,277.1645649,1,[M+H]1+
ascr#2,C12H22O5,247.1540003,1,[M+H]1+
ascr#3,C15H26O6,303.180215,1,[M+H]1+
ascr#4,C18H32O10,409.2068237,1,[M+H]1+
ascr#5,C9H16O6,221.1019647,1,[M+H]1+
ascr#6.1,C12H24O5,249.1696503,1,[M+H]1+
ascr#6.2,C12H24O5,249.1696503,1,[M+H]1+
ascr#7,C13H22O6,275.1489149,1,[M+H]1+
ascr#8,C20H27NO7,394.1860287,1,[M+H]1+
icas#9,C20H25NO7,392.1703786,1,[M+H]1+
dafa#1,C27H40O3,413.3050216,1,[M+H]1+
dafa#2,C27H42O3,415.3206717,1,[M+H]1+
dafa#3,C27H44O3,417.3363217,1,[M+H]1+
dafa#4,C27H42O3,415.3206717,1,[M+H]1+
dafa#5,C27H44O3,417.3363217,1,[M+H]1+
dafa#6,C27H44O3,417.3363217,1,[M+H]1+
ascr#9,C11H20O6,249.1332648,1,[M+H]1+
ascr#10,C15H28O6,305.1958651,1,[M+H]1+
ascr#11,C10H18O6,235.1176147,1,[M+H]1+
ascr#12,C12H22O6,263.1489149,1,[M+H]1+
ascr#13,C14H24O6,289.1645649,1,[M+H]1+
ascr#14,C14H26O6,291.180215,1,[M+H]1+
ascr#15,C16H28O6,317.1958651,1,[M+H]1+
ascr#16,C16H30O6,319.2115151,1,[M+H]1+
ascr#17,C17H30O6,331.2115151,1,[M+H]1+
ascr#18,C17H32O6,333.2271652,1,[M+H]1+
ascr#19,C18H32O6,345.2271652,1,[M+H]1+
ascr#20,C18H34O6,347.2428153,1,[M+H]1+
ascr#21,C19H34O6,359.2428153,1,[M+H]1+
ascr#22,C19H36O6,361.2584653,1,[M+H]1+
ascr#23,C20H36O6,373.2584653,1,[M+H]1+
ascr#24,C20H38O6,375.2741154,1,[M+H]1+
ascr#25,C21H38O6,387.2741154,1,[M+H]1+
ascr#26,C21H40O6,389.2897655,1,[M+H]1+
ascr#27,C22H40O6,401.2897655,1,[M+H]1+
ascr#28,C22H42O6,403.3054155,1,[M+H]1+
ascr#29,C23H42O6,415.3054155,1,[M+H]1+
ascr#30,C23H44O6,417.3210656,1,[M+H]1+
ascr#31,C24H44O6,429.3210656,1,[M+H]1+
ascr#32,C24H46O6,431.3367156,1,[M+H]1+
ascr#33,C25H46O6,443.3367156,1,[M+H]1+
ascr#34,C25H48O6,445.3523657,1,[M+H]1+
ascr#35,C26H48O6,457.3523657,1,[M+H]1+
ascr#36,C26H50O6,459.3680158,1,[M+H]1+
ascr#37,C27H50O6,471.3680158,1,[M+H]1+
ascr#38,C27H52O6,473.3836658,1,[M+H]1+
bhas#10,C15H28O7,321.1907797,1,[M+H]1+
bhas#16,C16H30O7,335.2064298,1,[M+H]1+
bhas#18,C17H32O7,349.2220798,1,[M+H]1+
bhas#20,C18H34O7,363.2377299,1,[M+H]1+
bhas#22,C19H36O7,377.2533799,1,[M+H]1+
bhas#24,C20H38O7,391.26903,1,[M+H]1+
bhas#26,C21H40O7,405.2846801,1,[M+H]1+
bhas#28,C22H42O7,419.3003301,1,[M+H]1+
bhas#30,C23H44O7,433.3159802,1,[M+H]1+
bhas#32,C24H46O7,447.3316303,1,[M+H]1+
bhas#34,C25H48O7,461.3472803,1,[M+H]1+
bhas#36,C26H50O7,475.3629304,1,[M+H]1+
bhas#38,C27H52O7,489.3785805,1,[M+H]1+
bhas#40,C28H54O7,503.3942305,1,[M+H]1+
bhas#42,C29H56O7,517.4098806,1,[M+H]1+
bhos#10,C15H28O7,321.1907797,1,[M+H]1+
bhos#16,C16H30O7,335.2064298,1,[M+H]1+
bhos#18,C17H32O7,349.2220798,1,[M+H]1+
bhos#20,C18H34O7,363.2377299,1,[M+H]1+
bhos#22,C19H36O7,377.2533799,1,[M+H]1+
bhos#24,C20H38O7,391.26903,1,[M+H]1+
bhos#26,C21H40O7,405.2846801,1,[M+H]1+
bhos#28,C22H42O7,419.3003301,1,[M+H]1+
bhos#30,C23H44O7,433.3159802,1,[M+H]1+
bhos#32,C24H46O7,447.3316303,1,[M+H]1+
bhos#34,C25H48O7,461.3472803,1,[M+H]1+
bhos#36,C26H50O7,475.3629304,1,[M+H]1+
bhos#38,C27H52O7,489.3785805,1,[M+H]1+
bhos#40,C28H54O7,503.3942305,1,[M+H]1+
bhos#42,C29H56O7,517.4098806,1,[M+H]1+
ibha#10,C24H33NO8,464.2278935,1,[M+H]1+
ibha#16,C25H35NO8,478.2435435,1,[M+H]1+
ibha#18,C26H37NO8,492.2591936,1,[M+H]1+
ibha#20,C27H39NO8,506.2748437,1,[M+H]1+
ibha#22,C28H41NO8,520.2904937,1,[M+H]1+
ibha#24,C29H43NO8,534.3061438,1,[M+H]1+
ibha#26,C30H45NO8,548.3217939,1,[M+H]1+
ibha#28,C31H47NO8,562.3374439,1,[M+H]1+
ibha#30,C32H49NO8,576.353094,1,[M+H]1+
ibho#10,C24H33NO8,464.2278935,1,[M+H]1+
ibho#16,C25H35NO8,478.2435435,1,[M+H]1+
ibho#18,C26H37NO8,492.2591936,1,[M+H]1+
ibho#20,C27H39NO8,506.2748437,1,[M+H]1+
ibho#22,C28H41NO8,520.2904937,1,[M+H]1+
ibho#24,C29H43NO8,534.3061438,1,[M+H]1+
ibho#26,C30H45NO8,548.3217939,1,[M+H]1+
icas#1,C22H29NO7,420.2016787,1,[M+H]1+
icas#2,C21H27NO6,390.191114,1,[M+H]1+
iglu#1,C14H17NO5,280.1179491,1,[M+H]1+
iglu#2,C14H18NO8P,360.0842795,1,[M+H]1+
angl#1,C13H17NO7,300.1077783,1,[M+H]1+
angl#2,C13H18NO10P,380.0741087,1,[M+H]1+
icas#3,C24H31NO7,446.2173288,1,[M+H]1+
icas#6.1,C21H29NO6,392.2067641,1,[M+H]1+
icas#6.2,C21H29NO6,392.2067641,1,[M+H]1+
icas#7,C22H27NO7,418.1860287,1,[M+H]1+
icas#10,C24H33NO7,448.2329789,1,[M+H]1+
icas#12,C21H27NO7,406.1860287,1,[M+H]1+
icas#14,C23H31NO7,434.2173288,1,[M+H]1+
icas#15,C25H33NO7,460.2329789,1,[M+H]1+
icas#16,C25H35NO7,462.2486289,1,[M+H]1+
icas#17,C26H35NO7,474.2486289,1,[M+H]1+
icas#18,C26H37NO7,476.264279,1,[M+H]1+
icas#19,C27H37NO7,488.264279,1,[M+H]1+
icas#20,C27H39NO7,490.2799291,1,[M+H]1+
icas#21,C28H39NO7,502.2799291,1,[M+H]1+
icas#22,C28H41NO7,504.2955791,1,[M+H]1+
icos#1,C22H29NO7,420.2016787,1,[M+H]1+
icos#3,C24H31NO7,446.2173288,1,[M+H]1+
icos#9,C20H25NO7,392.1703786,1,[M+H]1+
icos#10,C24H33NO7,448.2329789,1,[M+H]1+
icos#15,C25H33NO7,460.2329789,1,[M+H]1+
icos#16,C25H35NO7,462.2486289,1,[M+H]1+
icos#17,C26H35NO7,474.2486289,1,[M+H]1+
icos#18,C26H37NO7,476.264279,1,[M+H]1+
oscr#1,C13H24O6,277.1645649,1,[M+H]1+
oscr#3,C15H26O6,303.180215,1,[M+H]1+
oscr#7,C13H22O6,275.1489149,1,[M+H]1+
oscr#9,C11H20O6,249.1332648,1,[M+H]1+
oscr#10,C15H28O6,305.1958651,1,[M+H]1+
oscr#12,C12H22O6,263.1489149,1,[M+H]1+
