"","Time","Status","Details","elapsed_time"
"1","20190902_025609","Finished","all analyses done, total time",0
"2","20190902_024710","CAMERA annotation","Adduct and isotope annotation with the CAMERA package (after RT correction)",539.17
"3","20190902_024633","Saving table","Saving peaktable_grouped_RTcorr and running post-processing",37.027
"4","20190902_024438","Regroup peaks","group.density",115.124
"5","20190902_024438","Exporting data","Retention time correction information",0.0190000000000055
"6","20190902_024427","Retention time correction","obiwarp",10.384
"7","20190902_024357","Saving table","Saving peaktable_grouped and running post-processing",30.4880000000001
"8","20190902_024201","Group peaks","group.density",116.35
"9","20190902_024201","Exporting data","peaktable_all.csv",0.120999999999981
"10","20190902_023324","Finding peaks","XcmsSet peak detection",516.664
"11","20190902_023313","Starting analysis","loading files",11.289
"12","20190902_023311","Starting analysis with xcms_runner in Metaboseek v0.9.5.15 and xcms version 3.7.2","initializing parameters",1.553
